 , rand_won, bully_won, rdeep_won, ml_won
rand_lost, 0, 115, 186, 151
bully_lost, 64, 0, 128, 128
rdeep_lost, 17, 22, 0, 67
ml_lost, 40, 35, 88, 0
Total pts, 121, 172, 402, 346
