 , rand_won, bully_won, rdeep_won, ml_won
rand_lost, 0, 168, 156, 168
bully_lost, 132, 0, 135, 159
rdeep_lost, 144, 165, 0, 150
ml_lost, 132, 141, 150, 0
Total pts, 408, 474, 441, 477
