 , rand_won, bully_won, rdeep_won, ml_won
rand_lost, 0, 103, 144, 12
bully_lost, 69, 0, 55, 16
rdeep_lost, 65, 188, 0, 28
ml_lost, 278, 269, 245, 0
Total pts, 412, 560, 444, 56
