 , rand_won, bully_won, rdeep_won, ml_won
rand_lost, 0, 638, 856, 747
bully_lost, 286, 0, 673, 598
rdeep_lost, 121, 131, 0, 355
ml_lost, 152, 175, 418, 0
Total pts, 559, 944, 1947, 1700
ms per move, 23.3, 22.1, 34.2, 50.1
times late, 0, 0, 0, 0
