max_time, bot_name, score, ms_per_move, times_late
1, rand, 2919, 0.00685580065145, 1031
1, bully, 2976, 0.00605180157898, 1012
1, rdeep, 3096, 0.00637921567815, 972
1, ml, 3066, 0.00593905510625, 982
1, selection_basic, 2973, 0.00605002073817, 1013
2, rand, 3027, 0.0064992286365, 995
2, bully, 3063, 0.0064876421344, 983
2, rdeep, 3006, 0.00653027740505, 1002
2, ml, 2958, 0.00666458990041, 1018
2, selection_basic, 2976, 0.00729480781859, 1012
5, rand, 4150, 0.0111788768667, 293
5, bully, 4268, 0.0115447581416, 332
5, rdeep, 918, 0.0138816259108, 1698
5, ml, 1032, 0.0153963844713, 1660
5, selection_basic, 3969, 0.0122637776476, 380
10, rand, 3673, 0.0159568507945, 36
10, bully, 4156, 0.0167104066026, 41
10, rdeep, 672, 0.0201728203927, 1780
10, ml, 831, 0.0199085595558, 1727
10, selection_basic, 4188, 0.0162474625676, 46
20, rand, 1518, 0.0202805483668, 0
20, bully, 2019, 0.0204580819253, 0
20, rdeep, 2734, 0.0281670981303, 197
20, ml, 1608, 0.0309734017526, 714
20, selection_basic, 2091, 0.0202752903994, 1
50, rand, 696, 0.0214218406981, 0
50, bully, 1291, 0.0231305411758, 0
50, rdeep, 2524, 0.0373117227649, 49
50, ml, 1870, 0.0368175824601, 169
50, selection_basic, 2386, 0.0362112928918, 22
100, rand, 645, 0.0204417311317, 0
100, bully, 1066, 0.0210039987596, 0
100, rdeep, 2295, 0.0311125700604, 0
100, ml, 2077, 0.0301596669931, 0
100, selection_basic, 2398, 0.03151346311, 0
200, rand, 617, 0.0216068018, 0
200, bully, 1117, 0.0447493052688, 0
200, rdeep, 2312, 0.0312634695037, 0
200, ml, 1979, 0.0303575254955, 0
200, selection_basic, 2392, 0.0316316624234, 0
