 , rand_won, bully_won, rdeep_won, ml_won
rand_lost, 0, 94, 164, 150
bully_lost, 74, 0, 139, 118
rdeep_lost, 27, 22, 0, 74
ml_lost, 38, 47, 67, 0
Total pts, 139, 163, 370, 342
