 , rand_won, bully_won, rdeep_won, ml_won
rand_lost, 0, 131, 174, 130
bully_lost, 59, 0, 142, 121
rdeep_lost, 25, 17, 0, 59
ml_lost, 70, 48, 115, 0
Total pts, 154, 196, 431, 310
