 , rand_won, bully_won, rdeep_won, ml_won
rand_lost, 0, 708, 759, 750
bully_lost, 792, 0, 726, 783
rdeep_lost, 741, 774, 0, 828
ml_lost, 750, 717, 672, 0
Total pts, 2283, 2199, 2157, 2361
ms per move, 6.26, 6.75, 6.62, 6.05
times late, 739, 767, 781, 713
